,,,,,,,,Team,,,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,,,,
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,12/23/2020,,CHO,W,121,114,46,87,0.529,14,30,0.467,15,20,0.75,10,50,34,12,3,18,22,,45,90,0.5,16,44,0.364,8,15,0.533,8,32,29,10,4,15,17
2,2,12/26/2020,@,DET,W,128,119,48,99,0.485,13,30,0.433,19,30,0.633,7,51,29,13,4,18,24,,40,98,0.408,16,45,0.356,23,32,0.719,10,57,24,9,5,22,20
3,3,12/27/2020,,PHI,W,118,94,48,91,0.527,9,23,0.391,13,16,0.813,11,45,31,13,6,16,22,,33,79,0.418,12,37,0.324,16,22,0.727,8,39,24,9,5,21,19
4,4,12/29/2020,,NYK,L,86,95,32,88,0.364,7,32,0.219,15,22,0.682,14,43,22,13,10,13,17,,34,79,0.43,14,25,0.56,13,21,0.619,14,55,23,9,6,25,21
5,5,12/31/2020,@,IND,L,99,119,37,82,0.451,12,23,0.522,13,24,0.542,11,43,22,5,6,18,22,,42,87,0.483,16,35,0.457,19,24,0.792,9,44,28,12,1,14,22
6,6,1/2/2021,@,ATL,W,96,91,38,91,0.418,7,29,0.241,13,17,0.765,15,46,19,10,2,15,21,,35,85,0.412,11,32,0.344,10,19,0.526,15,48,22,9,5,20,20
7,7,1/4/2021,@,ORL,L,83,103,33,85,0.388,10,28,0.357,7,12,0.583,9,35,20,12,4,14,14,,38,88,0.432,15,34,0.441,12,13,0.923,18,54,22,9,7,19,15
8,8,1/6/2021,@,ORL,L,94,105,36,85,0.424,4,26,0.154,18,26,0.692,13,45,24,9,4,10,19,,40,81,0.494,12,29,0.414,13,18,0.722,8,43,20,4,4,15,22
9,9,1/7/2021,@,MEM,W,94,90,36,79,0.456,13,30,0.433,9,16,0.563,7,37,24,11,3,15,14,,36,83,0.434,11,31,0.355,7,8,0.875,11,48,27,13,6,18,17
