Tm,Opp
99,125
99,138
129,128
116,106
98,123
137,122
137,106
101,108
115,105
106,105
95,104
104,114
115,113
121,99
104,119
108,127
130,108
123,111
93,114
118,91
107,111
147,116
132,134
100,105
114,91
111,105
117,134
129,98
120,112
120,124
100,102
114,106
111,107
130,121
91,117
106,108
98,120
104,130
131,119
97,128
108,94
116,103
103,111
98,108
119,141
108,124
116,102
109,116
77,130
111,117
122,121
107,110
125,109
116,107
147,109
119,101
114,119
107,96
114,118
118,97
117,113
103,133
114,126
113,87
123,108
103,108
118,97
136,97
119,116
122,116
125,122
113,101
